ZAE000028296;TRWKF;Truworths International
DE0008232125;DLAKF;Deutsche Lufthansa AG
CA89346D1078;TAC;TransAlta Corp
FR0010411983;SZCRF;Scor SE
DE0007664039;VLKPF;Volkswagen AG
DE0006062144;CVVTF;Covestro AG
AT0000APOST4;OERCF;Oesterreichische Post AG
AT0000652011;EBKOF;Erste Group Bank AG
ES0144580Y14;IBDSF;Iberdrola
DE0007100000;MBGAF;Mercedes-Benz Group
IT0000072618;IITSF;INTESA SANPAOLO
DE000SHA0159;SCFLF;Schaeffler
JP3726800000;JAT-FF;JAPAN TOBACCO
US9314271084;WBA;Walgreens Boots Alliance Inc
US9134561094;UVV;Universal Corp
CA0636711016;BMO;BMO Financial Group
CA29250N1050;ENB;Enbridge Inc
CA05534B7604;BCE;BCE Inc
CA0158571053;AQN;Algonquin Power & Utilities Corp
US25179M1036;DVN;Devon Energy Corp
US0231351067;AMZN;Amazon.com Inc.
US00206R1023;T;AT&T INC.
AU000000ANZ3;ANZGY;Australia and New Zealand Banking Group Aktie
CA0158571053;AQN;Algonquin Power & Utilities Corp.
CA05534B7604;BCE;BCE Inc.
CA0636711016;BMO;Bank of Montreal
CA0641491075;BNS;Bank of Nova Scotia
CA0679011084;GOLD;Barrick Gold
CA11777Q2099;BTG;B2Gold Corp
CA1360691010;CM;Canadian Imperial Bank of Commerce
CA1363851017;CNQ;Canadian Natural Resources
CA29250N1050;ENB;Enbridge
CA39138C1068;GWS;Great-West Lifeco Inc
CA56501R1064;MFC;Manulife Financial
CA8672241079;SU;Suncor Energy
CA87807B1076;TRP;TC Energy Corp
CA8911605092;TD;Toronto-Dominion Bank
GB0004544929;IMBBY;Imperial Brands PLC
GB00BDR05C01;NGG;National Grid PLC
IL0010851827;MNDO;Mind CTI Ltd
IL0011582033;FVRR;Fiverr International Ltd
NL00150001Q9;STLA;Stellantis NV
US00123Q1040;AGNC;AGNC Investment Corp
US00206R1023;T;AT&T Inc
US00287Y1091;ABBV;ABBVIE
US0162301040;ALCO;Alico
US02209S1033;MO;Altria Group
US02607T1097;RTL;Necessity Retail REIT Inc
US0357108390;NLY;Annaly Capital Management Inc
US0389231087;ABR;Arbor Realty Trust
US05379B1070;AVA;Avista Corp
US05605H1005;BWXT;BWX Technologies Inc
US0589341009;BBVA;Banco Bbva Argentina SA
US09075V1026;BNTX;BioNTech
US0921131092;BKH;Black Hills Corp
US1101221083;BMY;Bristol Myers Squibb
US11135B1008;BRMK;Broadmark Realty Capital
US13462K1097;CWH;Camping World Holdings Inc
US14149Y1082;CAH;Cardinal Health Inc
US14167R2094;MTBCP;CareCloud Inc
US1667641005;CVX;Chevron Corp
US92343V1044;VZ;Verizon Communications
US17275R1023;CSCO;Cisco Systems
US18539C2044;CWEN;Clearway Energy Inc
US1912161007;KO;Coca-Cola Company
US2091151041;ED;Consolidated Edison
US2561631068;DOCU;DocuSign Inc
US26441C2044;DUK;Duke Energy Corp
US26817Q8868;DX;Dynex Capital Inc
US26874R1086;E;ENI SpA
US27616P1030;DEA;Easterly Government Properties Inc
US29786A1060;ETSY;ETSY
US30231G1022;XOM;ExxonMobil Corp
US3137472060;FRT;Federal Realty
US3695501086;GD;General Dynamics
US37733W1053;GSK;GlaxoSmithKline PLC
US38268T1034;GPRO;GoPro Inc
US4464131063;HII;Huntington Ingalls Industries
US4581401001;INTC;Intel Corp
US4592001014;IBM;IBM
US46284V1017;IRM;Iron Mountain
US4781601046;JNJ;Johnson & Johnson
US4878361082;K;Kellogg Co
US92942W1071;KLG;WK KELLOGG CO
US4943681035;KMB;Kimberly-Clark
US5007541064;KHC;Kraft Heinz Co
US50155Q1004;KD;Kyndryl Holdings Inc
US5246601075;LEG;Leggett & Platt Inc
US5398301094;LMT;Lockheed Martin
US5502411037;LUMN;Lumen Technologies Inc
US58463J3041;MPW;Medical Properties Trust
US58933Y1055;MRK;Merck & Co
US6374171063;NNN;National Retail Properties Inc
US64110L1061;NFLX;Netflix
US64828T2015;RITM;Rithm Capital Corp
US6494451031;NYCB;New York Community Bancorp Inc
US6516391066;NEM;Newmont Corp
US66765N1054;NWN;Northwest Natural Holding Co
US6680743050;NWE;NorthWestern Corp
US66987V1098;NVS;Novartis
US67401P1084;OCSL;Oaktree Specialty Lending Corp
US6819361006;OHI;Omega Healthcare Investors
US70450Y1038;PYPL;PayPal Holdings Inc
US7127041058;PBCT;People's United Financial Inc
US71654V4086;PBR;Petr�leo Brasileiro S.A.-Petrobras
US7170811035;PFE;Pfizer
US7181721090;PM;Philip Morris International
US7185461040;PSX;Phillips 66
US7427181091;PG;Procter & Gamble
US74467Q1031;PUBM;PubMatic Inc
US75513E1010;RTX;Raytheon Technologies Corp
US7561091049;O;Realty Income
US77543R1023;ROKU;Roku Inc
US78440X8048;SLG;SL Green Realty Corp
US82575P1075;SBSW;Sibanye Stillwater Ltd
US8308791024;SKYW;SkyWest Inc
US84265V1052;SCCO;Southern Copper Corp
US8522341036;SQ;Block Inc
US8621211007;STOR;STORE Capital Corp
US88579Y1010;MMM;3M
US89151E1091;TTE;Total
FR0000120271;TTE-FR;Total
US8998961044;TUP;Tupperware Brands Corp
US9047677045;UL;Unilever PLC
US9134561094;UVV;Universal Corp
US91680M1071;UPST;Upstart Holdings Inc
US92556V1061;VTRS;Viatris Inc
US9256521090;VICI;VICI Properties Inc
US9271074091;VLGEA;Village Super Market
US92857W3088;VOD;Vodafone Group PLC
US92936U1097;WPC;WP Carey
US9314271084;WBA;Walgreens Boots Alliance Inc
US9598021098;WU;Western Union Company
US9694571004;WMB;Williams Companies
US98980L1017;ZM;Zoom Video Communications Inc
US69121K1043;OBDC;OWL ROCK CAPITAL CORPORATION COMMON STOCK
US09260D1072;BX;BLACKSTONE INC
US04010L1035;ARCC;ARES CAPITAL CORPORATI
US56035L1044;MAIN;MAIN STREET CAPITAL CO
GB00B10RZP78;UL;Unilever PLC
